ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,phone,email,website,facebook,order_test,rating_test_,rating,post_images
6427,"ASSOCIATION HARMONIA",,publish,541,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.34959505182866," -1.4907987453517144",485017297,"ASSOCIATION HARMONIA",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6428,"LES LUCIOLES",,publish,542,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.40804823022281," -1.7029426990295267",485280499,"LES LUCIOLES",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6429,"ATELIER SON ET IMAGE",,publish,543,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.405675899069124," -1.5549876818188624",487715971,"ATELIER SON ET IMAGE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6430,"EUSKAL EVENT",,publish,544,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.0306429897189," -1.0588990167098804",488397803,"EUSKAL EVENT",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6431,"CLEAN SHAPER",,publish,545,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.26983901296188," -1.4165233802939696",488435587,"CLEAN SHAPER",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6432,"KATOUCHA POUR LA LUTTE CONTRE L EXCISION",,publish,546,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.16669334378913," -1.0211388666513685",488693557,"KATOUCHA POUR LA LUTTE CONTRE L EXCISION",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6433,"PERE NOEL ANIMATION",,publish,547,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.296567329342125," -1.321969670135664",488742222,"PERE NOEL ANIMATION",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6434,"CLUB TABLE RONDE",,publish,548,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.36111330048969," -1.5947857844253954",488764531,"CLUB TABLE RONDE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6435,"PLANETE SOURIRE ANIMATION EN ART THERAPIE",,publish,549,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.38292013169127," -1.3441201259539008",488983578,"PLANETE SOURIRE ANIMATION EN ART THERAPIE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6436,G.2.N,,publish,550,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.00664470883676," -1.0078080589252556",489357988,G.2.N,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6437,"ASSOCIATION DE LA PRESSE JEUNE DE LA COTE BASQUE : L INTER",,publish,551,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.2077754638935," -1.03750869080103",489440628,"ASSOCIATION DE LA PRESSE JEUNE DE LA COTE BASQUE : L INTER",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6438,"MISSIONS PERE CESTAC",,publish,552,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.29940510422605," -1.1253253079806989",490192507,"MISSIONS PERE CESTAC",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6439,"C.L.A. LES MAILHOUNS",,publish,553,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.205342894852784," -0.9513920534527385",490256245,"C.L.A. LES MAILHOUNS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6440,"VTT ITZULIAK",,publish,554,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.41877244111708," -1.474131872637907",490295136,"VTT ITZULIAK",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6441,"UNION CYLISTE ET SPORTIVE D'ANGLET",,publish,555,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.4117504593452," -1.6826476091843434",490497765,"UNION CYLISTE ET SPORTIVE D'ANGLET",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6442,"LE PETIT THEATRE DES TROIS",,publish,556,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.179894673818374," -1.0257668400351179",490939576,"LE PETIT THEATRE DES TROIS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6443,"COM. DEP. DES P.A FED FR. PECHEURS EN MER",,publish,557,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.191337832127296," -1.3076309957556176",491026076,"COM. DEP. DES P.A FED FR. PECHEURS EN MER",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6444,PILOTAZAIN,,publish,558,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.21548772771884," -1.0116949984919856",491240412,PILOTAZAIN,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6445,"ENFANT DANS LE QUARTIER",,publish,559,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.27505043410622," -1.1991547599836228",491583852,"ENFANT DANS LE QUARTIER",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6446,"ASSOC MEZZO PIANO",,publish,560,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.1785380536129," -1.1915312327365977",492521968,"ASSOC MEZZO PIANO",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6447,"AQUITAINE LANGUAGE LEARNING",,publish,561,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.16015797016494," -0.9675716766438351",492777628,"AQUITAINE LANGUAGE LEARNING",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6448,"ASSOCIATION CALIGRAYK",,publish,562,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.4612085761441," -1.6182743235912267",493218549,"ASSOCIATION CALIGRAYK",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6449,"ADMR ADOUR ET NIVE",,publish,563,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.34054866986573," -1.6440145292113608",493888804,"ADMR ADOUR ET NIVE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6450,"ARTE LATINO",,publish,564,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.34506249626784," -1.6690489162578153",494079999,"ARTE LATINO",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6451,"FORMATION INSERTION DES PROFESSIONS D'AUXILIAIRE DE VIE",,publish,565,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.41219655995207," -1.707273256170376",494122914,"FORMATION INSERTION DES PROFESSIONS D'AUXILIAIRE DE VIE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6452,"ENTRE NOUS",,publish,566,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.078629933737965," -1.164032850896712",494268121,"ENTRE NOUS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6453,"ASS FAVELA HATSUTA",,publish,567,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.09538591255925," -1.182367461917452",494676810,"ASS FAVELA HATSUTA",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6454,"ASSOCIATION SYNDICALE LE GUICHON",,publish,568,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.43577442381157," -1.6404617068169576",495269441,"ASSOCIATION SYNDICALE LE GUICHON",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6455,"SURF CASTING CLUB D'ANGLET",,publish,569,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.02476768759883," -0.9895628885174034",498173541,"SURF CASTING CLUB D'ANGLET",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6456,"L ATELIER POUR TOUS",,publish,570,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.2794424113751," -1.4644949910547576",498236553,"L ATELIER POUR TOUS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6457,"CONFRERIE DES CHEVALIERS DE LA TRUITE DE SAINT-PEE-SUR NIVELLE",,publish,571,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.36545851903477," -1.7307369488954458",498986231,"CONFRERIE DES CHEVALIERS DE LA TRUITE DE SAINT-PEE-SUR NIVELLE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6458,KALCEMENTO,,publish,572,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.189865480890965," -0.956288500601099",499831139,KALCEMENTO,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6459,PERRUKETAK,,publish,573,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.12504402308889," -0.9773208065246699",499903409,PERRUKETAK,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6460,"SYNDICALE DES PROPRIETAIRES DES LOTS DU LOTISSEMENT LA GRANDE DUNE",,publish,574,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.13932772264958," -1.2182907112487253",499946689,"SYNDICALE DES PROPRIETAIRES DES LOTS DU LOTISSEMENT LA GRANDE DUNE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6461,"CAPOEIRA LIBERDADE",,publish,575,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.16890748853126," -0.9982032059655696",500485552,"CAPOEIRA LIBERDADE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6462,GYNDA,,publish,576,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.182781467483025," -1.031205570761189",500511944,GYNDA,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6463,"WAZUP BEACH FESTIVAL",,publish,577,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.281623107844965," -1.3122658827484095",500794169,"WAZUP BEACH FESTIVAL",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6464,ETXALDE,,publish,578,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.37471168150089," -1.614882002250043",500977954,ETXALDE,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6465,"ACTION SOLIDARITE RUGBY",,publish,579,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.24401823882668," -1.468427924353517",502432891,"ACTION SOLIDARITE RUGBY",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6466,"STUDIO 55",,publish,580,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.36037929157139," -1.6903404355896878",502842727,"STUDIO 55",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6467,"YACHT CLUB DE BAYONNE ET DE L'ADOUR MARITIME",,publish,581,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.42859582135594," -1.3279514757576183",502937626,"YACHT CLUB DE BAYONNE ET DE L'ADOUR MARITIME",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6468,"FEDERATION LOGEMENT CONSOMMATION ADEIC AFFILIE A L'ASSOCIATION DE DEFENSE D'EDUCATION ET D'INFORMATION DU CONSOMMATEUR",,publish,582,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.40533793747274," -1.4090600575630758",502981749,"FEDERATION LOGEMENT CONSOMMATION ADEIC AFFILIE A L'ASSOCIATION DE DEFENSE D'EDUCATION ET D'INFORMATION DU CONSOMMATEUR",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6469,"COMPAGNIE HECHO EN CASA",,publish,583,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.317466426669824," -1.6471675580474157",503251530,"COMPAGNIE HECHO EN CASA",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6470,"ASSOCIATION MOKOS",,publish,584,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.24316781124257," -1.1291200236447567",504619354,"ASSOCIATION MOKOS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6471,"SKI CLUB DE LA PLAGE-COTE BASQUE",,publish,585,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.376883490490286," -1.3367332743402351",504656968,"SKI CLUB DE LA PLAGE-COTE BASQUE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6472,LAMINAK,,publish,586,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.13786677926591," -1.203831960436357",504929993,LAMINAK,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6473,"LES GENETS D ANGLET FOOTBALL",,publish,587,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.393025812537005," -1.3708200865373388",505182345,"LES GENETS D ANGLET FOOTBALL",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6474,TERPSYCHORE,,publish,588,gd_place,"2025-07-21 19:52:57","2025-07-21 19:52:57",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.03113714253896," -1.0078974151961426",505343640,TERPSYCHORE,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6475,"ASSOCIATION FRATENELLE DES AVEUGLES DE BAYONNE BIARRITZ ET REGION",,publish,589,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.310705938284386," -1.523490209498703",507947125,"ASSOCIATION FRATENELLE DES AVEUGLES DE BAYONNE BIARRITZ ET REGION",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6476,"ASS FACLE",,publish,590,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.19421267643507," -1.2068239196150867",508062015,"ASS FACLE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6477,"ASS COMPTABILITE ET CONSEIL EN GESTION  DE L ATLANTIQUE",,publish,591,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.18126505304599," -1.0228713170607837",508273323,"ASS COMPTABILITE ET CONSEIL EN GESTION DE L ATLANTIQUE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6478,"LES AIGLONS D'ENDARRA",,publish,592,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.18751468174632," -1.3454203902974133",508355385,"LES AIGLONS D'ENDARRA",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6479,"ASSOCIATION  SPORTIVE STELLA MARIS",,publish,593,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.36834157340861," -1.2803466596584263",508544863,"ASSOCIATION SPORTIVE STELLA MARIS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6480,"ASSO POUR L INFORMATION DES FAMILLES ADOPTIVES",,publish,594,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.357940791595915," -1.3203140291958015",509164430,"ASSO POUR L INFORMATION DES FAMILLES ADOPTIVES",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6481,"VAHINE ORI TAHITI",,publish,595,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.29590046658423," -1.4460631171989347",509166179,"VAHINE ORI TAHITI",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6482,"ANGLET MUSIQUE ACTION PRODUCTION",,publish,596,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.46709445138092," -1.4234268760381612",509314258,"ANGLET MUSIQUE ACTION PRODUCTION",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6483,PHIL64MUSIK,,publish,597,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.418511907655," -1.7042092670325961",509666566,PHIL64MUSIK,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6484,"LES AMIS D ALEXIS",,publish,598,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.35478612570591," -1.704048780380767",510342082,"LES AMIS D ALEXIS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6485,"GROUPEMENT D EMPLOYEURS SANTE ATLANTIQUE",,publish,599,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.1689067322046," -1.2651259698816992",510633555,"GROUPEMENT D EMPLOYEURS SANTE ATLANTIQUE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6486,"ASS SYNDICALE LIBRE DE BRINDOS",,publish,600,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.18710391003458," -1.1214327635681864",510989817,"ASS SYNDICALE LIBRE DE BRINDOS",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6487,CINETIKS,,publish,601,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.477089235278875," -1.5785884781647277",511237083,CINETIKS,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6488,"LIGAM GASCON DEU BAISH ADOR",,publish,602,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.094370013729005," -1.1338507345122284",511929861,"LIGAM GASCON DEU BAISH ADOR",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6489,"A BATUCADA BOOM",,publish,603,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.36261094516675," -1.495180630039771",512630435,"A BATUCADA BOOM",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6490,MAJIX,,publish,604,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.24544049967497," -1.373105069365924",513170977,MAJIX,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6491,FEEVER,,publish,605,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.377709103660386," -1.3627748949131262",513376632,FEEVER,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6492,"ROLLER EUSKAL HERRIAN",,publish,606,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.25391140234458," -1.0137360200377716",513669739,"ROLLER EUSKAL HERRIAN",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6493,"LE PETIT TRAIN DE LA HESTE",,publish,607,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.259935596826935," -1.2329163725987877",513695171,"LE PETIT TRAIN DE LA HESTE",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6494,FIFAVA,,publish,608,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.26442791542472," -0.9866923658367126",514081793,FIFAVA,ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6495,"UNION DEPARTEMENTAL DES ASSOCIATIONS DE MARINS ET MARINS ANCIENS COMBATTANTS DES PYRENEES ATLANTIQUES",,publish,609,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.4240418641724," -1.3720918337896226",514118918,"UNION DEPARTEMENTAL DES ASSOCIATIONS DE MARINS ET MARINS ANCIENS COMBATTANTS DES PYRENEES ATLANTIQUES",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6496,"4 ELLES ET 1 CHAMEAU",,publish,610,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.43818712822668," -1.6577309381954684",515332948,"4 ELLES ET 1 CHAMEAU",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6497,"HAND'PISTES....POUR L'EMPLOI LA CULTURE ET LA FORMATION",,publish,611,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.36326351605646," -1.7362327576861674",517440574,"HAND'PISTES....POUR L'EMPLOI LA CULTURE ET LA FORMATION",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6498,"L ASSOCIATION DES SOURDS DU PAYS BASQUE 64",,publish,612,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.252737640687," -1.250881286039674",518020540,"L ASSOCIATION DES SOURDS DU PAYS BASQUE 64",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
6499,"BIEN VIVRE AUTOUR DU MAHARIN",,publish,613,gd_place,"2025-07-21 19:52:58","2025-07-21 19:52:58",,,,0,,,ANGLET,Nouvelle-Aquitaine,France,64600,43.320485899675816," -1.321105593454806",518159843,"BIEN VIVRE AUTOUR DU MAHARIN",ASSOCIATIONS,Adour-BAB,"COTE BASQUE ADOUR","UTD Labourd",,,,,,,,,,
